app_id,app_name,app_aliases,category,source,form,cooked_yield_ratio,ifct_code,ifct_name_used,usda_fdc_id,usda_description,mapping_notes,confidence,gaps_filled_from,unit_default_g,household_units,allergens,dietary_tags,review_status
barnyard_millet_raw,Barnyard millet,samai; sanwa; jhangora; kuthiraivali; oodalu,grain,ifct,raw,3,A016,Samai,,,Samai is the Tamil name for barnyard millet (Echinochloa frumentacea).,exact,,180,"{""cup_raw"": 180, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
toor_dal_raw,Toor dal (raw),arhar dal; tur dal; red gram split; pigeon pea split,pulse,ifct,raw,3,B021,"Red gram, dal",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
moong_dal_raw,Moong dal (raw),mung dal; green gram split; yellow moong dal,pulse,ifct,raw,3,B010,"Green gram, dal",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
whole_moong_raw,Whole moong (raw),whole mung; green gram whole; sabut moong,pulse,ifct,raw,3,B011,"Green gram, whole",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
masoor_dal_raw,Masoor dal (raw),red lentil split; pink lentil; split red lentil,pulse,ifct,raw,3,B013,Lentil dal,,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
urad_dal_raw,Urad dal (raw),black gram split; white urad dal; ulundu paruppu,pulse,ifct,raw,3,B003,"Black gram, dal",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
whole_urad_raw,Whole urad (raw),sabut urad; black gram whole; kali dal,pulse,ifct,raw,3,B004,"Black gram, whole",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
chana_dal_raw,Chana dal (raw),bengal gram split; split chickpea; cholar dal,pulse,ifct,raw,3,B001,"Bengal gram, dal",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
kala_chana_raw,Kala chana (raw),black chickpea; brown chickpea; desi chickpea; bengal gram whole,pulse,ifct,raw,3,B002,"Bengal gram, whole",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
kabuli_chana_raw,Kabuli chana (raw),garbanzo beans; white chickpea; safed chana; kabuli chickpea,pulse,ifct,raw,3,B002,"Bengal gram, whole",,,"IFCT does not distinguish desi (kala chana) from kabuli varieties; B002 (whole Bengal gram, 6 regions) is the same code used for kala chana. Kabuli is larger and lighter but nutritionally close.",good,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
rajma_raw,Rajma (raw),red kidney beans; kidney beans; lal rajma,pulse,ifct,raw,3,B019,"Rajmah, brown",,,"Three IFCT rajma entries exist (B018 black 2-region, B019 brown 6-region, B020 red 3-region). B019 picked on regn=6 tie-breaker. For the common Indian red rajma, B020 is acceptable alternative but lower regn.",good,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
lobia_raw,Lobia (raw),black-eyed peas; chawli; black-eyed beans; cowpea,pulse,ifct,raw,3,B005,"Cowpea, brown",,,"B005 (cowpea brown, 6 regions) preferred over B006 (cowpea white, 1 region) on regn.",good,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
matki_raw,Matki (raw),moth beans; matki bean; dew bean; turkish gram,pulse,ifct,raw,3,B016,Moth bean,,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
horse_gram_raw,Horse gram (raw),kulthi; kollu; hurali; muthira; gahat,pulse,ifct,raw,3,B012,"Horse gram, whole",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
green_peas_raw,Green peas (fresh),fresh peas; matar; hari matar; garden peas,vegetable,ifct,raw,1,D061,"Peas, fresh",,,Fresh green peas. For dried peas use B017 instead.,exact,,150,"{""cup"": 150, ""katori"": 100}",,vegetarian eggetarian fishetarian veg,human_ok
moong_sprouts_raw,Moong sprouts,sprouted mung beans; mung sprouts; ankurit moong,pulse,usda,raw,1,,,,"Mung beans, mature seeds, sprouted, raw",IFCT has no sprouted moong entry; B011 (whole green gram) is the unsprouted base but sprouting changes vitamin C and digestibility substantially. USDA FDC 169260 (SR Legacy) is the standard reference for raw mung sprouts. USER MUST VERIFY FDC ID.,weak,,100,"{""cup"": 100, ""katori"": 80}",,vegetarian eggetarian fishetarian veg,human_ok
onion_raw,Onion (raw),pyaaz; kanda; ulli; big onion,vegetable,ifct,raw,1,G017,"Onion, big",,,"G017 (big onion, 6 regions) preferred over G018 (small onion / sambar onion, 5 regions). Note IFCT classifies onion under Condiments and Spices, but for the app it belongs in vegetable category.",exact,,100,"{""medium"": 100, ""large"": 150, ""cup_chopped"": 160, ""tbsp_chopped"": 10}",,vegetarian eggetarian fishetarian veg,human_ok
tomato_raw,Tomato (raw),tamatar; thakkali; ripe tomato,vegetable,ifct,raw,1,D076,"Tomato, ripe, local",,,"D076 (ripe local tomato, 6 regions) preferred over D075 (ripe hybrid, 6 regions); local matches generic Indian recipe usage. D074 (green tomato) is a different culinary item.",good,,100,"{""medium"": 100, ""large"": 150, ""cup_chopped"": 180}",,vegetarian eggetarian fishetarian veg,human_ok
potato_raw,Potato (raw),aloo; alu; batata,vegetable,ifct,raw,1,F006,"Potato, brown skin, big",,,"F006 (brown skin big, 6 regions) preferred over F007 (brown skin small, 1 region) and F008 (red skin, 1 region) on regn. The standard generic potato.",good,,150,"{""medium"": 150, ""large"": 200, ""cup_diced"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
brinjal_raw,Brinjal (raw),eggplant; baingan; aubergine; vangi; kathirikai,vegetable,ifct,raw,1,D031,Brinjal - all varieties,,,"D031 is the explicit IFCT aggregate across all 21 individual brinjal varieties (D010-D030), regn=6. Best choice for generic 'brinjal'.",exact,,100,"{""medium"": 100, ""large"": 250, ""cup_diced"": 160}",,vegetarian eggetarian fishetarian veg,human_ok
okra_raw,Okra (raw),bhindi; ladies finger; vendakkai; bendekayi,vegetable,ifct,raw,1,D056,Ladies finger,,,,exact,,100,"{""cup_chopped"": 100, ""medium"": 10}",,vegetarian eggetarian fishetarian veg,human_ok
cauliflower_raw,Cauliflower (raw),phool gobi; gobhi; cauli,vegetable,ifct,raw,1,D036,Cauliflower,,,,exact,,100,"{""cup_florets"": 100, ""medium_head"": 600}",,vegetarian eggetarian fishetarian veg,human_ok
cabbage_raw,Cabbage (raw),patta gobi; band gobi; muttaikose,vegetable,ifct,raw,1,C015,"Cabbage, green",,,"C015 (green cabbage, 6 regions) is the standard. IFCT classifies under Green Leafy Vegetables but in app it's a regular vegetable.",exact,,100,"{""cup_shredded"": 90, ""medium_head"": 900}",,vegetarian eggetarian fishetarian veg,human_ok
french_beans_raw,French beans (raw),farasbi; fansi; beans; green beans; haricot,vegetable,ifct,raw,1,D049,"French beans, country",,,"D049 (country variety, 5 regions) preferred over D050 (hybrid, 2 regions) for typical Indian usage.",good,,100,"{""cup_chopped"": 110, ""handful"": 50}",,vegetarian eggetarian fishetarian veg,human_ok
capsicum_raw,Capsicum (raw),green bell pepper; shimla mirch; green capsicum,vegetable,ifct,raw,1,D033,"Capsicum, green",,,"D033 (green capsicum, 6 regions) is the default. For red/yellow bell peppers use D034/D035 instead — though note IFCT spec said 'Western vegetables (bell peppers)' should use USDA, IFCT does have measured capsicum entries so using them is appropriate here.",good,,100,"{""medium"": 150, ""cup_chopped"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
green_chilli_raw,Green chilli (raw),hari mirch; pacha mulagu; pachi mirapakaya,vegetable,ifct,raw,1,G008,"Chillies, green - all varieties",,,"G008 is the explicit IFCT aggregate across all 7 green chilli varieties (G001-G007), regn=6. IFCT classifies under Condiments and Spices, but in the app it functions as a vegetable in many dishes; category set to vegetable for consistency with recipe usage.",exact,,5,"{""whole_small"": 3, ""whole_medium"": 5, ""tsp_chopped"": 3}",,vegetarian eggetarian fishetarian veg,human_ok
carrot_raw,Carrot (raw),gajar; carrot orange,vegetable,ifct,raw,1,F002,"Carrot, orange",,,"F002 (orange carrot, 6 regions) preferred over F003 (red/desi carrot, 4 regions) on regn. Orange is now the dominant year-round variety; red desi gajar is seasonal (winter) — switch to F003 for halwa contexts if needed.",good,,100,"{""medium"": 60, ""large"": 100, ""cup_chopped"": 130, ""cup_grated"": 110}",,vegetarian eggetarian fishetarian veg,human_ok
beetroot_raw,Beetroot (raw),chukandar; beet; chuqandar,vegetable,ifct,raw,1,F001,Beet root,,,,exact,,100,"{""medium"": 150, ""cup_chopped"": 135, ""cup_grated"": 100}",,vegetarian eggetarian fishetarian veg,human_ok
radish_raw,Radish (raw),mooli; daikon; mullangi; white radish,vegetable,ifct,raw,1,F010,"Radish, elongate, white skin",,,"Four radish entries in IFCT: F009 elongate-red (3 regn), F010 elongate-white (6 regn), F011 round-red (1 regn), F012 round-white (2 regn). F010 wins on regn=6 and matches the dominant Indian mooli form.",good,,100,"{""medium"": 200, ""cup_sliced"": 115}",,vegetarian eggetarian fishetarian veg,human_ok
sweet_potato_raw,Sweet potato (raw),shakarkand; shakarkandi; ratalu; genasu,vegetable,ifct,raw,1,F013,"Sweet potato, brown skin",,,"F013 (brown skin, 4 regions) preferred over F014 (pink skin, 3 regions). Standard orange-fleshed Indian sweet potato.",good,,150,"{""medium"": 150, ""cup_cubed"": 130}",,vegetarian eggetarian fishetarian veg,human_ok
bottle_gourd_raw,Bottle gourd (raw),lauki; doodhi; ghiya; sorakaya; sorekai; opo squash,vegetable,ifct,raw,1,D007,"Bottle gourd, elongate, pale green",,,"Three IFCT bottle gourd entries (D007 elongate-pale 6 regn, D008 round-pale 5 regn, D009 elongate-dark 1 regn). D007 wins on regn and matches the dominant Indian variety.",good,,200,"{""medium"": 500, ""cup_chopped"": 145}",,vegetarian eggetarian fishetarian veg,human_ok
ridge_gourd_raw,Ridge gourd (raw),turai; turiya; beerakaya; peerkangai; jhinge,vegetable,ifct,raw,1,D068,Ridge gourd,,,"D068 (ridge gourd, 6 regions) preferred over D069 (smooth-skin variant, 3 regions). The standard ridged/angled variety.",good,,150,"{""medium"": 150, ""cup_chopped"": 95}",,vegetarian eggetarian fishetarian veg,human_ok
bitter_gourd_raw,Bitter gourd (raw),karela; pavakkai; haagalakaayi; kakarakaya,vegetable,ifct,raw,1,D004,"Bitter gourd, jagged, teeth ridges, elongate",,,"Multiple IFCT bitter gourd entries. D004 (jagged teeth ridges, elongate, 6 regions) wins on regn over D005 (jagged teeth, short, 4 regn) and D006 (smooth ridges, 1 regn). The common Indian elongated karela.",good,,100,"{""medium"": 100, ""cup_sliced"": 95}",,vegetarian eggetarian fishetarian veg,human_ok
ash_gourd_raw,Ash gourd (raw),petha; safed kaddu; kushmanda; boodida gummadi; winter melon,vegetable,ifct,raw,1,D001,Ash gourd,,,,exact,,200,"{""cup_chopped"": 130}",,vegetarian eggetarian fishetarian veg,human_ok
pumpkin_raw,Pumpkin (raw),kaddu; kashi halwa; mathanga; parangikai; sitaphal,vegetable,ifct,raw,1,D066,"Pumpkin, orange, round",,,"D066 (orange round, 6 regions) is the dominant Indian pumpkin / kaddu. D065 (green cylindrical) is the unripe green form, less common.",good,,150,"{""cup_cubed"": 116, ""cup_mashed"": 245}",,vegetarian eggetarian fishetarian veg,human_ok
drumstick_raw,Drumstick (raw),moringa pod; sahjan; sahijan; munagakaya; murungakkai; nuggekai,vegetable,ifct,raw,1,D046,Drumstick,,,,exact,,100,"{""medium_pod"": 30, ""cup_chopped"": 100}",,vegetarian eggetarian fishetarian veg,human_ok
spinach_raw,Spinach (raw),palak; pasalai keerai; bachhali kura,vegetable,ifct,raw,1,C033,Spinach,,,,exact,,100,"{""cup_chopped_raw"": 30, ""cup_cooked"": 180, ""bunch"": 340}",,vegetarian eggetarian fishetarian veg,human_ok
fenugreek_leaves_raw,Fenugreek leaves (raw),methi; methi leaves; vendhayakeerai; menthi kura,vegetable,ifct,raw,1,C020,Fenugreek leaves,,,,exact,,100,"{""cup_chopped"": 60, ""bunch"": 100}",,vegetarian eggetarian fishetarian veg,human_ok
coriander_leaves_raw,Coriander leaves (raw),dhaniya; kothmir; hara dhaniya; kothamalli; cilantro,vegetable,ifct,raw,1,G009,Coriander leaves,,,IFCT classifies coriander leaves under Condiments and Spices but in app it functions as a leafy garnish/vegetable; category set to vegetable.,exact,,20,"{""tbsp_chopped"": 4, ""cup_chopped"": 16, ""bunch"": 50}",,vegetarian eggetarian fishetarian veg,human_ok
curry_leaves_raw,Curry leaves (raw),kadi patta; karuveppilai; karibevu; kariveppila,spice,ifct,raw,1,G010,Curry leaves,,,,exact,,2,"{""sprig"": 2, ""leaf"": 0.2, ""tbsp_chopped"": 3}",,vegetarian eggetarian fishetarian veg,human_ok
banana_raw,Banana (ripe),kela; vazhaipazham; arati pandu; cavendish banana,fruit,ifct,raw,1,E012,"Banana, ripe, robusta",,,"IFCT has five named banana varieties (montham/poovam/red/robusta/+more). E012 (robusta, 6 regions) wins on regn and matches the dominant Indian cavendish-type yellow banana. For specific varieties (red, nendran/montham, poovam) use E009-E011.",good,,120,"{""medium"": 120, ""small"": 80, ""large"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
apple_raw,Apple (raw),seb; aapal; apple big,fruit,ifct,raw,1,E001,"Apple, big",,,"E001 (apple big, 6 regions) is the default. E002 (green/Granny Smith), E003 (small, 6 regn), E004 (small Kashmir, 1 regn) exist for specific varieties.",good,,180,"{""medium"": 180, ""small"": 130, ""large"": 220, ""cup_sliced"": 110}",,vegetarian eggetarian fishetarian veg,human_ok
sweet_lime_raw,Sweet lime (raw),mosambi; mausambi; sweet lemon; musami,fruit,ifct,raw,1,E034,"Lime, sweet, pulp",,,,exact,,150,"{""medium"": 150, ""cup_segments"": 165}",,vegetarian eggetarian fishetarian veg,human_ok
papaya_raw,Papaya (ripe),papita; pappali; boppayi; papaw,fruit,ifct,raw,1,E049,"Papaya, ripe",,,"E049 (ripe papaya, 6 regions). For green/raw papaya used as vegetable (e.g., thoran), use D059 instead.",exact,,150,"{""cup_cubed"": 145, ""small_whole"": 300, ""medium_whole"": 500}",,vegetarian eggetarian fishetarian veg,human_ok
mango_raw,Mango (ripe),aam; pazha mangai; mamidipandu; alphonso/kesar/etc,fruit,ifct,raw,1,E036,"Mango, ripe, banganapalli",,,"IFCT has 7 named ripe mango varieties (banganapalli/gulabkhas/himsagar/kesar/neelam/paheri/totapari) and no 'all varieties' aggregate. E036 (banganapalli, 6 regions) wins on regn — it's also a widely-eaten table mango. For specific varieties: E037 gulabkhas, E038 himsagar, E039 kesar, E040 neelam, E041 paheri, E042 totapari. For unripe/raw mango (chutney/pickle context) use D057.",good,,200,"{""medium"": 200, ""large"": 300, ""cup_sliced"": 165}",,vegetarian eggetarian fishetarian veg,human_ok
watermelon_raw,Watermelon (raw),tarbooz; tarbuj; kalingad; pucha kayalu,fruit,usda,raw,1,,,167765,"Watermelon, raw",Not in IFCT (IFCT has muskmelon E045 but no watermelon). USDA FDC 167765 (SR Legacy) is the standard reference. USER MUST VERIFY FDC ID.,good,,150,"{""cup_diced"": 152, ""wedge"": 286}",,vegetarian eggetarian fishetarian veg,human_ok
pomegranate_raw,Pomegranate (raw),anar; anaar; danimma; matalam; dalimba; arils,fruit,ifct,raw,1,E055,"Pomegranate, maroon seeds",,,,exact,,150,"{""cup_arils"": 174, ""medium_whole"": 280}",,vegetarian eggetarian fishetarian veg,human_ok
guava_raw,Guava (raw),amrood; jaam; peyara; perakkai; jaama pandu,fruit,ifct,raw,1,E028,"Guava, white flesh",,,"Two IFCT guava entries: E028 (white flesh, 5 regn) and E029 (pink flesh, 5 regn). Tied on regn. Going with white-flesh as the more common Indian variety. Switch to E029 if recipes specifically call for pink guava.",good,,150,"{""medium"": 150, ""cup_chopped"": 165}",,vegetarian eggetarian fishetarian veg,human_ok
milk_cow_whole,"Milk (whole, cow)",doodh; paal; haalu; dudh; whole milk,dairy,ifct,raw,1,L002,"Milk, whole, Cow",,,"L002 (cow milk, 6 regions) is the default. For buffalo milk use L001 instead (higher fat). IFCT measures B12 as zero / not reported; the B12 overlay from USDA should be applied for accurate animal-product B12 in v1.",exact,usda_b12_overlay,250,"{""cup"": 250, ""glass"": 200, ""tbsp"": 15}",dairy,vegetarian eggetarian fishetarian veg,human_ok
curd_raw,Curd (dahi),dahi; yogurt; perugu; mosaru; tayir; thayir,dairy,usda,raw,1,,,170887,"Yogurt, plain, whole milk","IFCT does not measure curd/dahi (only milk/paneer/khoa). Per project spec, curd uses USDA fallback. FDC 170887 (Yogurt, plain, whole milk, SR Legacy) is the closest match for traditional Indian whole-milk dahi. For low-fat dahi use a different FDC. USER MUST VERIFY FDC ID.",good,,200,"{""katori"": 150, ""cup"": 245, ""tbsp"": 15}",dairy,vegetarian eggetarian fishetarian veg,human_ok
paneer_raw,Paneer,paneer; cottage cheese (Indian); chhena-pressed,dairy,ifct,raw,1,L003,Paneer,,,Direct IFCT match regn=6,exact,usda_b12_overlay,50,"{""cube_small"": 20, ""cube_medium"": 30, ""katori"": 80}",dairy,vegetarian eggetarian fishetarian veg,human_ok
ghee_raw,Ghee,ghee; clarified butter; desi ghee,oil_fat,ifct,raw,1,T013,Ghee,,,Direct IFCT match regn=6,exact,usda_b12_overlay,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 200}",dairy,vegetarian eggetarian fishetarian veg,human_ok
butter_raw,Butter,butter; makhan; salted butter,dairy,usda,raw,1,,,173430,"Butter, salted","IFCT gap (dairy beyond milk/paneer/khoa). FDC 173430 is SR Legacy 'Butter, salted'; user verify. Foundation Foods has no plain butter entry as of v2024.",good,,14,"{""tsp"": 5, ""tbsp"": 14, ""pat"": 5}",dairy,vegetarian,human_ok
fresh_cream_raw,Fresh cream,fresh cream; heavy cream; dairy cream; malai-cream,dairy,usda,raw,1,,,170859,"Cream, fluid, heavy whipping","IFCT gap. FDC 170859 SR Legacy ~36% fat. If recipes use Indian cooking cream (~25%), consider 170857 'Cream, fluid, light whipping' instead. User verify.",good,,15,"{""tbsp"": 15, ""cup"": 240}",dairy,vegetarian,human_ok
buttermilk_raw,Buttermilk,buttermilk; chaas; chaach; mattha,dairy,usda,raw,1,,,173441,"Milk, buttermilk, fluid, cultured, lowfat","IFCT gap (curd/dahi-family not covered beyond milks). Indian chaas is diluted curd, closer to cultured buttermilk than sweet-cream buttermilk. FDC 173441 SR Legacy; user verify. Alternative: build as 'composed' from L002 cow milk + dilution if precision matters.",approximate,,200,"{""glass"": 200, ""cup"": 240}",dairy,vegetarian,human_ok
processed_cheese_raw,Processed cheese,processed cheese; cheese slice; Amul cheese,dairy,usda,raw,1,,,746766,"Cheese, pasteurized process, american, fortified with vitamin D",IFCT gap. FDC 746766 is SR Legacy processed American cheese (closest analog to Indian sliced processed cheese like Amul). User verify; consider 746767 if low-sodium variant needed.,approximate,,20,"{""slice"": 20, ""cube"": 15}",dairy,vegetarian,human_ok
chicken_breast_raw,Chicken breast,chicken breast; chicken breast skinless; murgh sina,meat,ifct,raw,0.75,N003,"Chicken, poultry, breast, skinless",,,IFCT match skinless breast regn=5,exact,usda_b12_overlay,150,"{""piece_medium"": 150, ""piece_small"": 100}",,fishetarian nonveg,human_ok
chicken_thigh_raw,Chicken thigh,chicken thigh; chicken thigh skinless; murgh jangha,meat,ifct,raw,0.75,N002,"Chicken, poultry, thigh, skinless",,,IFCT match skinless thigh regn=6 (highest regn among chicken cuts),exact,usda_b12_overlay,120,"{""piece"": 120}",,fishetarian nonveg,human_ok
mutton_raw,Mutton (goat),mutton; goat meat; bakra; chevon; goat shoulder,meat,ifct,raw,0.75,O001,"Goat, shoulder, meat",,,"Chose O001 shoulder (regn=6) as default cut for Indian mutton curry/biryani. Alternatives: O002 chops, O003 legs (also regn=6) — split if recipes specify.",exact,usda_b12_overlay,150,"{""piece_curry"": 30, ""serving"": 150}",,fishetarian nonveg,human_ok
egg_whole_raw,Egg,egg; whole egg; chicken egg; anda,egg,ifct,raw,1,M001,"Egg, poultry, whole, raw",,,IFCT match regn=6. For boiled form use M004 as separate app_id (egg_whole_boiled) if needed.,exact,usda_b12_overlay,50,"{""egg_small"": 40, ""egg_medium"": 50, ""egg_large"": 60}",eggs,eggetarian fishetarian nonveg,human_ok
rohu_raw,Rohu,rohu; rohu fish; rui; Labeo rohita,fish,ifct,raw,0.75,S006,Rohu,,,IFCT match regn=6,exact,usda_b12_overlay,150,"{""piece"": 100, ""serving"": 150}",fish,fishetarian nonveg,human_ok
pomfret_raw,Pomfret,pomfret; white pomfret; paplet; vavval,fish,ifct,raw,0.75,P057,"Pomfret, white",,,P057 white pomfret (Pampus argenteus) — most common in Indian markets/recipes. Corrected from S006 (Rohu) which was a copy-paste error. P055 black pomfret is alternative if recipes specify.,good,usda_b12_overlay,150,"{""piece"": 150}",fish,fishetarian nonveg,human_ok
catla_raw,Catla,catla; katla; bhakur; Catla catla,fish,ifct,raw,0.75,S002,Catla,,,IFCT match regn=6,exact,usda_b12_overlay,150,"{""piece"": 100, ""serving"": 150}",fish,fishetarian nonveg,human_ok
prawns_raw,Prawns,prawns; shrimp; jhinga; chemmeen; eral,fish,ifct,raw,0.75,S009,"Prawns, small",,,"Chose S009 small freshwater prawns (regn=6, highest). For tiger prawns specifically use Q008/Q007 (marine, regn=1) or S010 (freshwater, regn=2).",good,usda_b12_overlay,100,"{""piece_medium"": 15, ""serving"": 100}",shellfish,fishetarian nonveg,human_ok
mustard_oil_raw,Mustard oil,mustard oil; sarson ka tel; kachi ghani,oil_fat,ifct,raw,1,T006,Mustard oil,,,IFCT match regn=6,exact,,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 220}",,vegetarian eggetarian fishetarian veg,human_ok
sunflower_oil_raw,Sunflower oil,sunflower oil; suraj mukhi tel,oil_fat,ifct,raw,1,T012,Sunflower oil,,,IFCT match regn=6,exact,,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 218}",,vegetarian eggetarian fishetarian veg,human_ok
groundnut_oil_raw,Groundnut oil,groundnut oil; peanut oil; moongphali tel,oil_fat,ifct,raw,1,T005,Groundnut oil,,,IFCT match regn=5,exact,,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 216}",peanuts,vegetarian eggetarian fishetarian veg,human_ok
coconut_oil_raw,Coconut oil,coconut oil; nariyal tel; thenga ennai,oil_fat,ifct,raw,1,T001,Coconut oil,,,IFCT match regn=1 (only coconut oil entry). Low regn but no better option.,good,,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 218}",,vegetarian eggetarian fishetarian veg,human_ok
sesame_oil_raw,Sesame oil,sesame oil; gingelly oil; til tel; nallennai,oil_fat,ifct,raw,1,T004,Gingelly oil,,,IFCT 'Gingelly oil' = sesame oil (Indian English),exact,,14,"{""tsp"": 5, ""tbsp"": 14, ""cup"": 218}",sesame,vegetarian eggetarian fishetarian veg,human_ok
turmeric_powder_raw,Turmeric powder,turmeric powder; haldi; manjal podi,spice,ifct,raw,1,G033,Turmeric powder,,,IFCT match regn=6,exact,,5,"{""tsp"": 3, ""tbsp"": 9, ""pinch"": 0.3}",,vegetarian eggetarian fishetarian veg,human_ok
cumin_raw,Cumin seeds,cumin; cumin seeds; jeera; jeerakam,spice,ifct,raw,1,G025,Cumin seeds,,,IFCT match regn=6,exact,,5,"{""tsp"": 2, ""tbsp"": 6}",,vegetarian eggetarian fishetarian veg,human_ok
red_chilli_powder_raw,Red chilli powder,red chilli powder; lal mirch; chilli powder; mirchi powder,spice,ifct,raw,1,G022,"Chillies, red",,,"IFCT G022 is whole dried red chillies — powder is ground form, nutritionally equivalent per 100g dry weight. No separate powder entry in IFCT. regn=6.",good,,3,"{""tsp"": 3, ""tbsp"": 9, ""pinch"": 0.3}",,vegetarian eggetarian fishetarian veg,human_ok
